name,price,rr
"POCO C50 (Royal Blue, 32 GB)","₹5,749","12,848 Ratings & 564 Reviews"
"POCO C50 (Country Green, 32 GB)","₹5,749","12,848 Ratings & 564 Reviews"
"realme C33 (Sandy Gold, 64 GB)","₹9,999","64,428 Ratings & 2,837 Reviews"
"I Kall King Talking, Contact icon and Auto Call Recording",₹744,"16,497 Ratings & 1,487 Reviews"
"realme C33 (Night Sea, 64 GB)","₹9,999","64,428 Ratings & 2,837 Reviews"
"realme C33 (Aqua Blue, 32 GB)","₹8,999","21,644 Ratings & 903 Reviews"
"realme C33 (Sandy Gold, 32 GB)","₹8,999","21,644 Ratings & 903 Reviews"
"realme C33 (Night Sea, 32 GB)","₹8,999","21,644 Ratings & 903 Reviews"
"realme C33 (Aqua Blue, 64 GB)","₹9,999","64,428 Ratings & 2,837 Reviews"
"MOTOROLA e13 (Aurora Green, 64 GB)","₹7,799","9,213 Ratings & 859 Reviews"
"POCO C50 (Country Green, 32 GB)","₹6,549","4,108 Ratings & 252 Reviews"
Nokia 105 SS,"₹1,299","35,341 Ratings & 2,454 Reviews"
"MOTOROLA G32 (Mineral Gray, 128 GB)","₹11,999","1,751 Ratings & 168 Reviews"
"Infinix SMART 7 (Azure Blue, 64 GB)","₹7,499","8,566 Ratings & 547 Reviews"
"MOTOROLA e40 (Carbon Gray, 64 GB)","₹8,599","76,723 Ratings & 7,126 Reviews"
"realme C30 (Lake Blue, 32 GB)","₹5,999","95,794 Ratings & 5,157 Reviews"
"realme C30 (Bamboo Green, 32 GB)","₹5,999","95,794 Ratings & 5,157 Reviews"
"realme C30 (Denim Black, 32 GB)","₹5,999","95,794 Ratings & 5,157 Reviews"
"realme C30 (Bamboo Green, 32 GB)","₹6,999","44,785 Ratings & 2,848 Reviews"
"POCO M4 Pro (Cool Blue, 128 GB)","₹13,999","1,61,445 Ratings & 14,341 Reviews"
"realme C55 (Rainy Night, 64 GB)","₹11,999","1,645 Ratings & 132 Reviews"
"MOTOROLA G62 5G (Midnight Gray, 128 GB)","₹16,649","8,421 Ratings & 803 Reviews"
"realme C30 (Denim Black, 32 GB)","₹6,999","44,785 Ratings & 2,848 Reviews"
"POCO C55 (Power Black, 128 GB)","₹9,999","3,747 Ratings & 199 Reviews"
"realme C55 (Sunshower, 128 GB)","₹13,999","2,277 Ratings & 144 Reviews"
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","₹7,499","7,458 Ratings & 326 Reviews"
"MOTOROLA g13 (Matte Charcoal, 128 GB)","₹9,999",
"I Kall King Talking, Contact icon and Auto Call Recording",₹744,"16,497 Ratings & 1,487 Reviews"
"realme C30 (Lake Blue, 32 GB)","₹6,999","44,785 Ratings & 2,848 Reviews"
"MOTOROLA g52 (Charcoal Grey, 64 GB)","₹10,999","14,051 Ratings & 1,610 Reviews"
"MOTOROLA G32 (Satin Silver, 128 GB)","₹11,999","1,751 Ratings & 168 Reviews"
GREENBERRI G370,"₹1,299",9 Ratings & 7 Reviews
"Realme C30 - Locked with Airtel Prepaid (Denim Black, 32 GB)","₹5,549","95,794 Ratings & 5,157 Reviews"
"realme C55 (Rainy Night, 128 GB)","₹13,999","2,277 Ratings & 144 Reviews"
"realme C55 (Sunshower, 64 GB)","₹10,999","4,004 Ratings & 341 Reviews"
"realme C55 (Sunshower, 64 GB)","₹11,999","1,645 Ratings & 132 Reviews"
"realme C55 (Rainy Night, 64 GB)","₹10,999","4,004 Ratings & 341 Reviews"
Nokia 105 SS,"₹1,299","35,341 Ratings & 2,454 Reviews"
"APPLE iPhone 14 (Purple, 128 GB)","₹71,999","27,093 Ratings & 1,059 Reviews"
